geoid,geoid20,year,denom_total_pop,toxic_releases,toxic_releases_pctile
1400000US06037980023,6037980023,2021,0,0,1
1400000US06037206020,6037206020,2021,8947,1987.6899,53
1400000US06037401901,6037401901,2021,3945,649.12,12
1400000US06037980002,6037980002,2021,0,0,1
1400000US06037207400,6037207400,2021,1539,2025.67,54
1400000US06037980004,6037980004,2021,0,0,1
1400000US06037901210,6037901210,2021,1631,474.59,6
1400000US06037577504,6037577504,2021,1378,6805.96,86
1400000US06037980033,6037980033,2021,16,8459.4199,90
1400000US06037980007,6037980007,2021,0,0,1
1400000US06037430200,6037430200,2021,1026,1181.35,26
1400000US06037670500,6037670500,2021,1513,4652.71,78
1400000US06037578100,6037578100,2021,2409,9061.7305,92
1400000US06037577604,6037577604,2021,1367,7344.4502,88
1400000US06037980034,6037980034,2021,9,4339.6001,77
1400000US06037920050,6037920050,2021,1280,505.79001,7
1400000US06037980020,6037980020,2021,0,0,1
1400000US06037265304,6037265304,2021,2878,1427.46,34
1400000US06037980011,6037980011,2021,93,16989.631,99
1400000US06037980028,6037980028,2021,0,0,1
1400000US06037265303,6037265303,2021,5156,1427.66,34
1400000US06037265301,6037265301,2021,11977,1432.83,34
1400000US06037980005,6037980005,2021,0,0,1
1400000US06037901003,6037901003,2021,4895,1403.16,33
1400000US06037980014,6037980014,2021,9,16486.43,99
1400000US06037980010,6037980010,2021,95,1725.73,44
1400000US06037980026,6037980026,2021,26,733.65002,15
1400000US06037670405,6037670405,2021,2864,4243.1802,76
1400000US06037980008,6037980008,2021,68,661.70001,13
1400000US06037980001,6037980001,2021,0,0,1
1400000US06037980003,6037980003,2021,0,0,1
1400000US06037115103,6037115103,2021,3381,542.65997,8
1400000US06037920200,6037920200,2021,5393,371.01001,5
1400000US06037980012,6037980012,2021,31,7720.79,89
1400000US06037224701,6037224701,2021,2311,2430.05,62
1400000US06037980009,6037980009,2021,5,1301.5,30
1400000US06037574602,6037574602,2021,1291,8104.8999,90
1400000US06037222700,6037222700,2021,4115,2521.73,63
1400000US06037980024,6037980024,2021,223,880.15002,18
1400000US06037980030,6037980030,2021,0,0,1
1400000US06037224702,6037224702,2021,3881,2430.05,62
1400000US06037980013,6037980013,2021,0,0,1
1400000US06037980006,6037980006,2021,0,0,1
1400000US06037402404,6037402404,2021,1819,1473.6,36
1400000US06037980031,6037980031,2021,1236,5697.1899,83
1400000US06037577501,6037577501,2021,3370,7572.04,88
1400000US06037980017,6037980017,2021,1187,1479.03,36
1400000US06037460401,6037460401,2021,1171,1030.28,21
1400000US06037620001,6037620001,2021,4251,4000.1599,74
1400000US06037574901,6037574901,2021,3697,10822.96,95
1400000US06037480500,6037480500,2021,5108,1296.75,30
1400000US06037262802,6037262802,2021,3424,1346.86,31
1400000US06037191902,6037191902,2021,2788,1517.38,37
